State,Total Ballots Counted (Estimate),Vote for Highest Office (President),VEP Turnout Rate (Total Ballots Counted),VEP Turnout Rate (Highest Office),Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,State Abv
Michigan,5579317.00,5539302.00,0.74,0.73,7550147.00,7870864.00,0.04,38183.00,0.00,0.00,38183.00,MI
Minnesota,3292997.00,3277171.00,0.80,0.80,4118462.00,4378737.00,0.04,9712.00,100076.00,7381.00,79140.00,MN
Mississippi,1325000.00,1313894.00,0.60,0.60,2201950.00,2279412.00,0.01,19244.00,27294.00,9866.00,46032.00,MS
Missouri,3050000.00,3012436.00,0.66,0.65,4603060.00,4794796.00,0.02,30148.00,43871.00,19251.00,76599.00,MO
Montana*,612075.00,603640.00,0.73,0.72,837298.00,851663.00,0.01,3754.00,0.00,0.00,3754.00,MT
Nebraska,966920.00,951712.00,0.70,0.69,1383551.00,1469878.00,0.05,5263.00,14894.00,958.00,15455.00,NE
Nevada,1407754.00,1405376.00,0.65,0.65,2153915.00,2450946.00,0.12,12399.00,0.00,0.00,12399.00,NV
New Hampshire,814499.00,806182.00,0.76,0.75,1079434.00,1115916.00,0.03,2635.00,0.00,0.00,2635.00,NH
New Jersey,4575000.00,4549353.00,0.74,0.74,6158999.00,6952008.00,0.11,18099.00,0.00,0.00,18099.00,NJ
New Mexico,928230.00,923965.00,0.61,0.61,1515355.00,1634037.00,0.06,6887.00,12090.00,2805.00,17188.00,NM
New York,8661735.00,8594826.00,0.63,0.63,13670596.00,15372655.00,0.11,42408.00,0.00,45192.00,87600.00,NY
North Carolina,5545847.00,5524802.00,0.72,0.71,7759051.00,8328642.00,0.06,33640.00,80068.00,14215.00,97497.00,NC
North Dakota,364251.00,361819.00,0.65,0.64,565143.00,584610.00,0.03,1679.00,0.00,0.00,1679.00,ND
Ohio,5974121.00,5922202.00,0.67,0.67,8859167.00,9144626.00,0.03,49892.00,0.00,0.00,49892.00,OH
Oklahoma,1565000.00,1560699.00,0.55,0.55,2845835.00,3031792.00,0.04,27558.00,41562.00,1780.00,55106.00,OK
Oregon,2413914.00,2374601.00,0.76,0.74,3196425.00,3405863.00,0.06,13795.00,0.00,0.00,13795.00,OR
Pennsylvania*,6950000.00,6915283.00,0.71,0.71,9781976.00,10186170.00,0.04,44148.00,0.00,0.00,44148.00,PA
Rhode Island,525000.00,517757.00,0.66,0.65,799642.00,857507.00,0.06,2766.00,0.00,0.00,2766.00,RI
South Carolina,2533010.00,2513329.00,0.65,0.64,3926305.00,4116633.00,0.04,18587.00,31975.00,4980.00,43392.00,SC
South Dakota,427529.00,422609.00,0.66,0.65,648104.00,675016.00,0.02,3867.00,5989.00,3201.00,10781.00,SD
Tennessee,3065000.00,3053851.00,0.60,0.60,5124867.00,5391220.00,0.04,26107.00,61253.00,10842.00,74926.00,TN
Texas,11350000.00,11315056.00,0.60,0.60,18784280.00,22058260.00,0.13,154913.00,368167.00,109213.00,492390.00,TX
Utah,1515845.00,1488289.00,0.69,0.68,2191487.00,2343384.00,0.06,6287.00,0.00,0.00,6287.00,UT
Vermont,370968.00,367428.00,0.74,0.74,499884.00,511637.00,0.02,0.00,0.00,0.00,0.00,VT
Virginia,4523142.00,4460524.00,0.73,0.72,6196071.00,6727440.00,0.07,35743.00,63111.00,1860.00,76732.00,VA
Washington,4116894.00,4087631.00,0.76,0.75,5437844.00,6070046.00,0.09,18777.00,76672.00,12222.00,78536.00,WA
West Virginia,802726.00,794652.00,0.58,0.57,1394028.00,1422098.00,0.01,6757.00,6593.00,4287.00,15132.00,WV
Wisconsin,3310000.00,3298041.00,0.76,0.76,4368530.00,4586746.00,0.03,23574.00,42909.00,21015.00,71193.00,WI
Wyoming,278503.00,276765.00,0.65,0.64,431364.00,447915.00,0.02,2488.00,5383.00,934.00,6759.00,WY
